rtls_interval_id,asset_id,asset_type,start_time,end_time,location_id,location_name,location_code,duration_sec
RTLS_00001,EUREKA-VPL-001,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:08.766999941,NS_A,B2.71 Open wacht,2.71,8.766999
RTLS_00147,EUREKA-VPL-002,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:03:08.404111751,NS_A,B2.71 Open wacht,2.71,188.404111
RTLS_00247,EUREKA-VPL-003,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:12:45.408752344,NS_B,B2.71.01 Dienstplaats,2.71.01,765.408752
RTLS_00300,EUREKA-VPL-004,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:42.473066277,NS_B,B2.71.01 Dienstplaats,2.71.01,42.473066
RTLS_00381,EUREKA-VPL-005,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:01.000000000,NS_A,B2.71 Open wacht,2.71,1.0
RTLS_00490,EUREKA-VPL-006,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:30.096046817,NS_B,B2.71.01 Dienstplaats,2.71.01,30.096046
RTLS_00648,EUREKA-VPL-007,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:05:34.189178184,NS_B,B2.71.01 Dienstplaats,2.71.01,334.189178
RTLS_00810,EUREKA-VPL-008,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:03:18.666795045,NS_B,B2.71.01 Dienstplaats,2.71.01,198.666795
RTLS_00933,EUREKA-VPL-009,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:01.888037556,NS_B,B2.71.01 Dienstplaats,2.71.01,1.888037
RTLS_01076,EUREKA-VPL-010,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:02:51.909301772,NS_B,B2.71.01 Dienstplaats,2.71.01,171.909301
RTLS_01269,EUREKA-VPL-011,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:58.516415239,NS_B,B2.71.01 Dienstplaats,2.71.01,58.516415
RTLS_01396,EUREKA-VPL-012,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:06:17.996972733,NS_A,B2.71 Open wacht,2.71,377.996972
RTLS_01467,EUREKA-VPL-013,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:28.067925608,NS_A,B2.71 Open wacht,2.71,28.067925
RTLS_01581,EUREKA-VPL-014,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:05:44.155156541,NS_B,B2.71.01 Dienstplaats,2.71.01,344.155156
RTLS_01761,EUREKA-VPL-015,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:12:00.000000000,NS_A,B2.71 Open wacht,2.71,720.0
RTLS_00382,EUREKA-VPL-005,nurse,2025-03-19 08:00:01.000000000,2025-03-19 08:00:21.446980195,PREP_A,B2.71.02 Voorbereiding,2.71.02,20.44698
RTLS_00934,EUREKA-VPL-009,nurse,2025-03-19 08:00:01.888037556,2025-03-19 08:00:20.151354167,ROOM_103,B2.78 1-bedskamer,2.78,18.263316
RTLS_00002,EUREKA-VPL-001,nurse,2025-03-19 08:00:08.766999941,2025-03-19 08:00:09.766999941,STORE_C,B2.65 Berging,2.65,1.0
RTLS_00003,EUREKA-VPL-001,nurse,2025-03-19 08:00:09.766999941,2025-03-19 08:09:29.734303834,PREP_B,B2.71.02 Voorbereiding,2.71.02,559.967303
RTLS_02225,Infuuspomp 4,equipment,2025-03-19 08:00:20.000000000,2025-03-19 08:00:38.000000000,UTIL_B,B2.75 Utility,2.75,18.0
RTLS_00935,EUREKA-VPL-009,nurse,2025-03-19 08:00:20.151354167,2025-03-19 08:00:31.665852311,ROOM_105,B2.82 1-bedskamer,2.82,11.514498
RTLS_00383,EUREKA-VPL-005,nurse,2025-03-19 08:00:21.446980195,2025-03-19 08:00:37.366247536,ROOM_106,B2.62 2-bedskamer,2.62,15.919267
RTLS_01468,EUREKA-VPL-013,nurse,2025-03-19 08:00:28.067925608,2025-03-19 08:00:39.295607603,KITCHEN,B2.77 Keuken,2.77,11.227681
RTLS_00491,EUREKA-VPL-006,nurse,2025-03-19 08:00:30.096046817,2025-03-19 08:01:02.315806493,ROOM_107,B2.64 2-bedskamer,2.64,32.219759
RTLS_00936,EUREKA-VPL-009,nurse,2025-03-19 08:00:31.665852311,2025-03-19 08:01:36.092920228,UTIL_B,B2.75 Utility,2.75,64.427067
RTLS_00384,EUREKA-VPL-005,nurse,2025-03-19 08:00:37.366247536,2025-03-19 08:01:12.485094102,PREP_B,B2.71.02 Voorbereiding,2.71.02,35.118846
RTLS_01469,EUREKA-VPL-013,nurse,2025-03-19 08:00:39.295607603,2025-03-19 08:01:46.802209085,ROOM_107,B2.64 2-bedskamer,2.64,67.506601
RTLS_02003,Infuuspomp 2,equipment,2025-03-19 08:00:40.000000000,2025-03-19 08:01:06.000000000,UTIL_A,B2.63 Utility,2.63,26.0
RTLS_00301,EUREKA-VPL-004,nurse,2025-03-19 08:00:42.473066277,2025-03-19 08:00:48.198926377,ROOM_107,B2.64 2-bedskamer,2.64,5.72586
RTLS_03377,Voedingspomp 4,equipment,2025-03-19 08:00:48.000000000,2025-03-19 08:01:04.000000000,UTIL_B,B2.75 Utility,2.75,16.0
RTLS_00302,EUREKA-VPL-004,nurse,2025-03-19 08:00:48.198926377,2025-03-19 08:00:54.921303002,KITCHEN,B2.77 Keuken,2.77,6.722376
RTLS_00303,EUREKA-VPL-004,nurse,2025-03-19 08:00:54.921303002,2025-03-19 08:01:13.019494919,ROOM_104,B2.80 1-bedskamer,2.80,18.098191
RTLS_01270,EUREKA-VPL-011,nurse,2025-03-19 08:00:58.516415239,2025-03-19 08:10:01.919711613,PREP_A,B2.71.02 Voorbereiding,2.71.02,543.403296
RTLS_01901,Infuuspomp 1,equipment,2025-03-19 08:01:01.000000000,2025-03-19 08:01:25.000000000,UTIL_A,B2.63 Utility,2.63,24.0
RTLS_00492,EUREKA-VPL-006,nurse,2025-03-19 08:01:02.315806493,2025-03-19 08:01:38.861163596,ROOM_110,B2.79 2-bedskamer,2.79,36.545357
RTLS_00385,EUREKA-VPL-005,nurse,2025-03-19 08:01:12.485094102,2025-03-19 08:01:55.648714680,ROOM_108,B2.66 2-bedskamer,2.66,43.16362
RTLS_00304,EUREKA-VPL-004,nurse,2025-03-19 08:01:13.019494919,2025-03-19 08:02:13.448287714,NS_A,B2.71 Open wacht,2.71,60.428792
RTLS_00937,EUREKA-VPL-009,nurse,2025-03-19 08:01:36.092920228,2025-03-19 08:03:46.873209174,PREP_B,B2.71.02 Voorbereiding,2.71.02,130.780288
RTLS_00493,EUREKA-VPL-006,nurse,2025-03-19 08:01:38.861163596,2025-03-19 08:01:50.021838107,ROOM_102,B2.76 1-bedskamer,2.76,11.160674
RTLS_01470,EUREKA-VPL-013,nurse,2025-03-19 08:01:46.802209085,2025-03-19 08:02:55.964083307,ROOM_108,B2.66 2-bedskamer,2.66,69.161874
RTLS_00494,EUREKA-VPL-006,nurse,2025-03-19 08:01:50.021838107,2025-03-19 08:02:19.046304328,ROOM_106,B2.62 2-bedskamer,2.62,29.024466
RTLS_03164,Voedingspomp 2,equipment,2025-03-19 08:01:51.000000000,2025-03-19 08:02:04.000000000,UTIL_B,B2.75 Utility,2.75,13.0
RTLS_00386,EUREKA-VPL-005,nurse,2025-03-19 08:01:55.648714680,2025-03-19 08:02:29.125173692,UTIL_A,B2.63 Utility,2.63,33.476459
RTLS_02846,Toiletstoel 2,equipment,2025-03-19 08:02:09.000000000,2025-03-19 08:02:23.000000000,UTIL_B,B2.75 Utility,2.75,14.0
RTLS_00305,EUREKA-VPL-004,nurse,2025-03-19 08:02:13.448287714,2025-03-19 08:07:59.248981573,PREP_A,B2.71.02 Voorbereiding,2.71.02,345.800693
RTLS_00495,EUREKA-VPL-006,nurse,2025-03-19 08:02:19.046304328,2025-03-19 08:13:07.975122140,PREP_B,B2.71.02 Voorbereiding,2.71.02,648.928817
RTLS_00387,EUREKA-VPL-005,nurse,2025-03-19 08:02:29.125173692,2025-03-19 08:18:59.669227212,BATHROOM,B2.57 Stortbad,2.57,990.544053
RTLS_02952,Toiletstoel 3,equipment,2025-03-19 08:02:36.000000000,2025-03-19 08:02:54.000000000,STORAGE,B2.61 Opslag,2.61,18.0
RTLS_02226,Infuuspomp 4,equipment,2025-03-19 08:02:40.000000000,2025-03-19 08:03:03.000000000,UTIL_B,B2.75 Utility,2.75,23.0
RTLS_01077,EUREKA-VPL-010,nurse,2025-03-19 08:02:51.909301772,2025-03-19 08:06:09.216042021,PREP_B,B2.71.02 Voorbereiding,2.71.02,197.30674
RTLS_01471,EUREKA-VPL-013,nurse,2025-03-19 08:02:55.964083307,2025-03-19 08:03:03.791517680,KITCHEN,B2.77 Keuken,2.77,7.827434
RTLS_01472,EUREKA-VPL-013,nurse,2025-03-19 08:03:03.791517680,2025-03-19 08:03:21.730095618,ROOM_108,B2.66 2-bedskamer,2.66,17.938577
RTLS_00148,EUREKA-VPL-002,nurse,2025-03-19 08:03:08.404111751,2025-03-19 08:03:50.277848546,ROOM_108,B2.66 2-bedskamer,2.66,41.873736
RTLS_00811,EUREKA-VPL-008,nurse,2025-03-19 08:03:18.666795045,2025-03-19 08:03:31.381011159,ROOM_110,B2.79 2-bedskamer,2.79,12.714216
RTLS_01473,EUREKA-VPL-013,nurse,2025-03-19 08:03:21.730095618,2025-03-19 08:03:24.506637058,PREP_B,B2.71.02 Voorbereiding,2.71.02,2.776541
RTLS_01474,EUREKA-VPL-013,nurse,2025-03-19 08:03:24.506637058,2025-03-19 08:04:14.390887762,ROOM_110,B2.79 2-bedskamer,2.79,49.88425
RTLS_00812,EUREKA-VPL-008,nurse,2025-03-19 08:03:31.381011159,2025-03-19 08:04:17.447219447,ROOM_103,B2.78 1-bedskamer,2.78,46.066208
RTLS_00938,EUREKA-VPL-009,nurse,2025-03-19 08:03:46.873209174,2025-03-19 08:06:33.990275842,STORAGE,B2.61 Opslag,2.61,167.117066
RTLS_00149,EUREKA-VPL-002,nurse,2025-03-19 08:03:50.277848546,2025-03-19 08:11:40.046759775,STORAGE,B2.61 Opslag,2.61,469.768911
