rtls_interval_id,asset_id,asset_type,start_time,end_time,location_id,location_name,location_code,duration_sec
RTLS_00001,EUREKA-VPL-001,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:08.766999941,NS_A,B2.71 Open wacht,2.71,8.766999
RTLS_00147,EUREKA-VPL-002,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:03:08.404111751,NS_A,B2.71 Open wacht,2.71,188.404111
RTLS_00247,EUREKA-VPL-003,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:12:45.408752344,NS_B,B2.71.01 Dienstplaats,2.71.01,765.408752
RTLS_00300,EUREKA-VPL-004,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:42.473066277,NS_B,B2.71.01 Dienstplaats,2.71.01,42.473066
RTLS_00381,EUREKA-VPL-005,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:01.000000000,NS_A,B2.71 Open wacht,2.71,1.0
RTLS_00490,EUREKA-VPL-006,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:30.096046817,NS_B,B2.71.01 Dienstplaats,2.71.01,30.096046
RTLS_00648,EUREKA-VPL-007,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:05:34.189178184,NS_B,B2.71.01 Dienstplaats,2.71.01,334.189178
RTLS_00810,EUREKA-VPL-008,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:03:18.666795045,NS_B,B2.71.01 Dienstplaats,2.71.01,198.666795
RTLS_00933,EUREKA-VPL-009,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:01.888037556,NS_B,B2.71.01 Dienstplaats,2.71.01,1.888037
RTLS_01076,EUREKA-VPL-010,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:02:51.909301772,NS_B,B2.71.01 Dienstplaats,2.71.01,171.909301
RTLS_01269,EUREKA-VPL-011,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:58.516415239,NS_B,B2.71.01 Dienstplaats,2.71.01,58.516415
RTLS_01396,EUREKA-VPL-012,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:06:17.996972733,NS_A,B2.71 Open wacht,2.71,377.996972
RTLS_01467,EUREKA-VPL-013,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:28.067925608,NS_A,B2.71 Open wacht,2.71,28.067925
RTLS_01581,EUREKA-VPL-014,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:05:44.155156541,NS_B,B2.71.01 Dienstplaats,2.71.01,344.155156
RTLS_01761,EUREKA-VPL-015,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:12:00.000000000,NS_A,B2.71 Open wacht,2.71,720.0
RTLS_01873,EUREKA-VPL-016,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:55.856603395,NS_B,B2.71.01 Dienstplaats,2.71.01,55.856603
RTLS_02018,EUREKA-VPL-017,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:06.129408850,NS_B,B2.71.01 Dienstplaats,2.71.01,6.129408
RTLS_02190,EUREKA-VPL-018,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:05.335422412,NS_A,B2.71 Open wacht,2.71,5.335422
RTLS_02323,EUREKA-VPL-019,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:08.939874813,NS_A,B2.71 Open wacht,2.71,8.939874
RTLS_02551,EUREKA-VPL-020,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:01:27.139285205,NS_B,B2.71.01 Dienstplaats,2.71.01,87.139285
RTLS_02657,EUREKA-VPL-021,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:35.402732552,NS_B,B2.71.01 Dienstplaats,2.71.01,35.402732
RTLS_02791,EUREKA-VPL-022,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:04.052950505,NS_A,B2.71 Open wacht,2.71,4.05295
RTLS_03009,EUREKA-VPL-023,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:01:43.781895339,NS_A,B2.71 Open wacht,2.71,103.781895
RTLS_03179,EUREKA-VPL-024,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:16.021391429,NS_B,B2.71.01 Dienstplaats,2.71.01,16.021391
RTLS_03371,EUREKA-VPL-025,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:07.073893939,NS_A,B2.71 Open wacht,2.71,7.073893
RTLS_03586,EUREKA-VPL-026,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:01:13.813829192,NS_A,B2.71 Open wacht,2.71,73.813829
RTLS_00382,EUREKA-VPL-005,nurse,2025-03-19 08:00:01.000000000,2025-03-19 08:00:21.446980195,PREP_A,B2.71.02 Voorbereiding,2.71.02,20.44698
RTLS_00934,EUREKA-VPL-009,nurse,2025-03-19 08:00:01.888037556,2025-03-19 08:00:20.151354167,ROOM_105,B2.82 1-bedskamer,2.82,18.263316
RTLS_02792,EUREKA-VPL-022,nurse,2025-03-19 08:00:04.052950505,2025-03-19 08:00:21.825972856,ROOM_103,B2.78 1-bedskamer,2.78,17.773022
RTLS_02191,EUREKA-VPL-018,nurse,2025-03-19 08:00:05.335422412,2025-03-19 08:04:35.877201531,PREP_B,B2.71.02 Voorbereiding,2.71.02,270.541779
RTLS_02019,EUREKA-VPL-017,nurse,2025-03-19 08:00:06.129408850,2025-03-19 08:01:31.149631286,ROOM_117,B2.54 2-bedskamer,2.54,85.020222
RTLS_03372,EUREKA-VPL-025,nurse,2025-03-19 08:00:07.073893939,2025-03-19 08:00:17.296348408,BATH_B,B2.55 Badkamer,2.55,10.222454
RTLS_00002,EUREKA-VPL-001,nurse,2025-03-19 08:00:08.766999941,2025-03-19 08:00:09.766999941,STORE_C,B2.65 Berging,2.65,1.0
RTLS_02324,EUREKA-VPL-019,nurse,2025-03-19 08:00:08.939874813,2025-03-19 08:02:40.859763571,ROOM_111,B2.81 2-bedskamer,2.81,151.919888
RTLS_00003,EUREKA-VPL-001,nurse,2025-03-19 08:00:09.766999941,2025-03-19 08:09:29.734303834,PREP_B,B2.71.02 Voorbereiding,2.71.02,559.967303
RTLS_04389,Bladderscan,equipment,2025-03-19 08:00:11.000000000,2025-03-19 08:00:39.000000000,UTIL_A,B2.63 Utility,2.63,28.0
RTLS_03180,EUREKA-VPL-024,nurse,2025-03-19 08:00:16.021391429,2025-03-19 08:06:53.312652170,STORE_B,B2.59 Berging,2.59,397.29126
RTLS_03373,EUREKA-VPL-025,nurse,2025-03-19 08:00:17.296348408,2025-03-19 08:00:41.949414357,ROOM_112,B2.83 2-bedskamer,2.83,24.653065
RTLS_00935,EUREKA-VPL-009,nurse,2025-03-19 08:00:20.151354167,2025-03-19 08:00:31.665852311,ROOM_107,B2.64 2-bedskamer,2.64,11.514498
RTLS_00383,EUREKA-VPL-005,nurse,2025-03-19 08:00:21.446980195,2025-03-19 08:00:37.366247536,ROOM_110,B2.79 2-bedskamer,2.79,15.919267
RTLS_02793,EUREKA-VPL-022,nurse,2025-03-19 08:00:21.825972856,2025-03-19 08:00:37.599667009,ROOM_111,B2.81 2-bedskamer,2.81,15.773694
RTLS_01468,EUREKA-VPL-013,nurse,2025-03-19 08:00:28.067925608,2025-03-19 08:00:39.295607603,KITCHEN,B2.77 Keuken,2.77,11.227681
RTLS_00491,EUREKA-VPL-006,nurse,2025-03-19 08:00:30.096046817,2025-03-19 08:01:02.315806493,ROOM_113,B2.84 1-bedskamer,2.84,32.219759
RTLS_00936,EUREKA-VPL-009,nurse,2025-03-19 08:00:31.665852311,2025-03-19 08:01:36.092920228,UTIL_B,B2.75 Utility,2.75,64.427067
RTLS_02658,EUREKA-VPL-021,nurse,2025-03-19 08:00:35.402732552,2025-03-19 08:00:45.065171337,ROOM_108,B2.66 2-bedskamer,2.66,9.662438
RTLS_00384,EUREKA-VPL-005,nurse,2025-03-19 08:00:37.366247536,2025-03-19 08:01:12.485094102,PREP_B,B2.71.02 Voorbereiding,2.71.02,35.118846
RTLS_02794,EUREKA-VPL-022,nurse,2025-03-19 08:00:37.599667009,2025-03-19 08:01:24.383511453,KITCHEN,B2.77 Keuken,2.77,46.783844
RTLS_01469,EUREKA-VPL-013,nurse,2025-03-19 08:00:39.295607603,2025-03-19 08:01:46.802209085,ROOM_112,B2.83 2-bedskamer,2.83,67.506601
RTLS_03374,EUREKA-VPL-025,nurse,2025-03-19 08:00:41.949414357,2025-03-19 08:00:54.486882222,ROOM_117,B2.54 2-bedskamer,2.54,12.537467
RTLS_00301,EUREKA-VPL-004,nurse,2025-03-19 08:00:42.473066277,2025-03-19 08:00:48.198926377,ROOM_112,B2.83 2-bedskamer,2.83,5.72586
RTLS_02659,EUREKA-VPL-021,nurse,2025-03-19 08:00:45.065171337,2025-03-19 08:01:10.230613646,ROOM_103,B2.78 1-bedskamer,2.78,25.165442
RTLS_00302,EUREKA-VPL-004,nurse,2025-03-19 08:00:48.198926377,2025-03-19 08:00:54.921303002,KITCHEN,B2.77 Keuken,2.77,6.722376
RTLS_03375,EUREKA-VPL-025,nurse,2025-03-19 08:00:54.486882222,2025-03-19 08:03:20.474013359,KITCHEN,B2.77 Keuken,2.77,145.987131
RTLS_00303,EUREKA-VPL-004,nurse,2025-03-19 08:00:54.921303002,2025-03-19 08:01:13.019494919,ROOM_107,B2.64 2-bedskamer,2.64,18.098191
RTLS_01874,EUREKA-VPL-016,nurse,2025-03-19 08:00:55.856603395,2025-03-19 08:02:07.541122609,ROOM_103,B2.78 1-bedskamer,2.78,71.684519
RTLS_03845,Medicatiekar geel,equipment,2025-03-19 08:00:55.856603395,2025-03-19 08:02:07.541122609,ROOM_103,B2.78 1-bedskamer,2.78,71.684519
RTLS_01270,EUREKA-VPL-011,nurse,2025-03-19 08:00:58.516415239,2025-03-19 08:10:01.919711613,PREP_A,B2.71.02 Voorbereiding,2.71.02,543.403296
RTLS_00492,EUREKA-VPL-006,nurse,2025-03-19 08:01:02.315806493,2025-03-19 08:01:38.861163596,ROOM_118,B2.60 2-bedskamer,2.60,36.545357
