rtls_interval_id,asset_id,asset_type,start_time,end_time,location_id,location_name,location_code,duration_sec
RTLS_00001,EUREKA-VPL-001,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:08.766999941,NS_A,B2.71 Open wacht,2.71,8.766999
RTLS_00012,EUREKA-VPL-002,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:15:00.000000000,NS_A,B2.71 Open wacht,2.71,900.0
RTLS_00024,EUREKA-VPL-003,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:06:23.139992582,NS_A,B2.71 Open wacht,2.71,383.139992
RTLS_00030,EUREKA-VPL-004,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:27.757361191,NS_A,B2.71 Open wacht,2.71,27.757361
RTLS_00042,EUREKA-VPL-005,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:00:32.767465399,NS_A,B2.71 Open wacht,2.71,32.767465
RTLS_00047,EUREKA-VPL-006,nurse,2025-03-19 08:00:00.000000000,2025-03-19 08:01:26.863656375,NS_B,B2.71.01 Dienstplaats,2.71.01,86.863656
RTLS_00002,EUREKA-VPL-001,nurse,2025-03-19 08:00:08.766999941,2025-03-19 08:00:09.766999941,STORE_C,B2.65 Berging,2.65,1.0
RTLS_00003,EUREKA-VPL-001,nurse,2025-03-19 08:00:09.766999941,2025-03-19 08:09:29.734303834,PREP_B,B2.71.02 Voorbereiding,2.71.02,559.967303
RTLS_00031,EUREKA-VPL-004,nurse,2025-03-19 08:00:27.757361191,2025-03-19 08:05:07.855469018,STORAGE,B2.61 Opslag,2.61,280.098107
RTLS_00043,EUREKA-VPL-005,nurse,2025-03-19 08:00:32.767465399,2025-03-19 08:01:07.542908086,ROOM_109,B2.68 2-bedskamer,2.68,34.775442
RTLS_00044,EUREKA-VPL-005,nurse,2025-03-19 08:01:07.542908086,2025-03-19 08:01:11.417661579,KITCHEN,B2.77 Keuken,2.77,3.874753
RTLS_00089,Infuuspomp 3,equipment,2025-03-19 08:01:08.000000000,2025-03-19 08:01:34.000000000,UTIL_B,B2.75 Utility,2.75,26.0
RTLS_00045,EUREKA-VPL-005,nurse,2025-03-19 08:01:11.417661579,2025-03-19 08:01:23.133796539,STORE_A,B2.53 Berging,2.53,11.716134
RTLS_00048,EUREKA-VPL-006,nurse,2025-03-19 08:01:26.863656375,2025-03-19 08:02:23.013836122,KITCHEN,B2.77 Keuken,2.77,56.150179
RTLS_00049,EUREKA-VPL-006,nurse,2025-03-19 08:02:23.013836122,2025-03-19 08:02:27.587815772,ROOM_101,B2.74 1-bedskamer,2.74,4.573979
RTLS_00050,EUREKA-VPL-006,nurse,2025-03-19 08:02:27.587815772,2025-03-19 08:02:34.710743707,KITCHEN,B2.77 Keuken,2.77,7.122927
RTLS_00051,EUREKA-VPL-006,nurse,2025-03-19 08:02:34.710743707,2025-03-19 08:02:39.364528924,NS_B,B2.71.01 Dienstplaats,2.71.01,4.653785
RTLS_00052,EUREKA-VPL-006,nurse,2025-03-19 08:02:39.364528924,2025-03-19 08:02:45.215788380,ROOM_111,B2.81 2-bedskamer,2.81,5.851259
RTLS_00239,Voedingspomp 4,equipment,2025-03-19 08:02:50.000000000,2025-03-19 08:03:20.000000000,UTIL_B,B2.75 Utility,2.75,30.0
RTLS_00252,Voedingspomp 5,equipment,2025-03-19 08:02:53.000000000,2025-03-19 08:03:19.000000000,UTIL_A,B2.63 Utility,2.63,26.0
RTLS_00101,Infuuspomp 4,equipment,2025-03-19 08:03:06.000000000,2025-03-19 08:03:41.000000000,UTIL_B,B2.75 Utility,2.75,35.0
RTLS_00179,Toiletstoel 2,equipment,2025-03-19 08:04:27.000000000,2025-03-19 08:04:57.000000000,UTIL_B,B2.75 Utility,2.75,30.0
RTLS_00142,Glucosemeter 1,equipment,2025-03-19 08:04:37.000000000,2025-03-19 08:05:07.000000000,NS_A,B2.71 Open wacht,2.71,30.0
RTLS_00225,Voedingspomp 3,equipment,2025-03-19 08:04:46.000000000,2025-03-19 08:05:10.000000000,UTIL_A,B2.63 Utility,2.63,24.0
RTLS_00032,EUREKA-VPL-004,nurse,2025-03-19 08:05:07.855469018,2025-03-19 08:05:25.707128786,NS_A,B2.71 Open wacht,2.71,17.851659
RTLS_00033,EUREKA-VPL-004,nurse,2025-03-19 08:05:25.707128786,2025-03-19 08:05:30.235310639,ROOM_113,B2.84 1-bedskamer,2.84,4.528181
RTLS_00102,Infuuspomp 4,equipment,2025-03-19 08:05:28.000000000,2025-03-19 08:06:03.000000000,UTIL_B,B2.75 Utility,2.75,35.0
RTLS_00034,EUREKA-VPL-004,nurse,2025-03-19 08:05:30.235310639,2025-03-19 08:05:51.646555489,KITCHEN,B2.77 Keuken,2.77,21.411244
RTLS_00035,EUREKA-VPL-004,nurse,2025-03-19 08:05:51.646555489,2025-03-19 08:06:55.528903278,ROOM_109,B2.68 2-bedskamer,2.68,63.882347
RTLS_00055,Medicatiekar groen,equipment,2025-03-19 08:05:51.646555489,2025-03-19 08:06:55.528903278,ROOM_109,B2.68 2-bedskamer,2.68,63.882347
RTLS_00226,Voedingspomp 3,equipment,2025-03-19 08:06:13.000000000,2025-03-19 08:06:40.000000000,UTIL_A,B2.63 Utility,2.63,27.0
RTLS_00025,EUREKA-VPL-003,nurse,2025-03-19 08:06:23.139992582,2025-03-19 08:06:37.390395683,KITCHEN,B2.77 Keuken,2.77,14.250403
RTLS_00026,EUREKA-VPL-003,nurse,2025-03-19 08:06:37.390395683,2025-03-19 08:09:44.141906794,NS_A,B2.71 Open wacht,2.71,186.751511
RTLS_00156,Glucosemeter 2,equipment,2025-03-19 08:06:42.000000000,2025-03-19 08:07:17.000000000,NS_B,B2.71.01 Dienstplaats,2.71.01,35.0
RTLS_00036,EUREKA-VPL-004,nurse,2025-03-19 08:06:55.528903278,2025-03-19 08:07:17.087918479,ROOM_105,B2.82 1-bedskamer,2.82,21.559015
RTLS_00168,Toiletstoel 1,equipment,2025-03-19 08:06:56.000000000,2025-03-19 08:07:17.000000000,UTIL_A,B2.63 Utility,2.63,21.0
RTLS_00037,EUREKA-VPL-004,nurse,2025-03-19 08:07:17.087918479,2025-03-19 08:07:39.230040001,ROOM_107,B2.64 2-bedskamer,2.64,22.142121
RTLS_00038,EUREKA-VPL-004,nurse,2025-03-19 08:07:39.230040001,2025-03-19 08:07:43.306438032,NS_A,B2.71 Open wacht,2.71,4.076398
RTLS_00039,EUREKA-VPL-004,nurse,2025-03-19 08:07:43.306438032,2025-03-19 08:09:54.816405810,NS_A,B2.71 Open wacht,2.71,131.509967
RTLS_00077,Infuuspomp 2,equipment,2025-03-19 08:07:50.000000000,2025-03-19 08:08:22.000000000,UTIL_A,B2.63 Utility,2.63,32.0
RTLS_00192,Toiletstoel 3,equipment,2025-03-19 08:07:59.000000000,2025-03-19 08:08:21.000000000,STORAGE,B2.61 Opslag,2.61,22.0
RTLS_00132,Bladderscan,equipment,2025-03-19 08:08:00.000000000,2025-03-19 08:08:34.000000000,UTIL_A,B2.63 Utility,2.63,34.0
RTLS_00204,Voedingspomp 1,equipment,2025-03-19 08:08:10.000000000,2025-03-19 08:08:40.000000000,UTIL_A,B2.63 Utility,2.63,30.0
RTLS_00117,Spuitaandrijver,equipment,2025-03-19 08:08:30.000000000,2025-03-19 08:08:52.000000000,UTIL_B,B2.75 Utility,2.75,22.0
RTLS_00143,Glucosemeter 1,equipment,2025-03-19 08:08:32.000000000,2025-03-19 08:08:59.000000000,NS_A,B2.71 Open wacht,2.71,27.0
RTLS_00090,Infuuspomp 3,equipment,2025-03-19 08:08:51.000000000,2025-03-19 08:09:24.000000000,UTIL_B,B2.75 Utility,2.75,33.0
RTLS_00078,Infuuspomp 2,equipment,2025-03-19 08:09:19.000000000,2025-03-19 08:09:45.000000000,UTIL_A,B2.63 Utility,2.63,26.0
RTLS_00215,Voedingspomp 2,equipment,2025-03-19 08:09:21.000000000,2025-03-19 08:09:37.000000000,UTIL_B,B2.75 Utility,2.75,16.0
RTLS_00053,Medicatiekar groen,equipment,2025-03-19 08:09:29.734303834,2025-03-19 08:10:56.340934744,ROOM_115,B2.58 2-bedskamer,2.58,86.60663
RTLS_00065,Infuuspomp 1,equipment,2025-03-19 08:09:36.000000000,2025-03-19 08:10:11.000000000,UTIL_A,B2.63 Utility,2.63,35.0
RTLS_00027,EUREKA-VPL-003,nurse,2025-03-19 08:09:44.141906794,2025-03-19 08:09:56.992169531,ROOM_111,B2.81 2-bedskamer,2.81,12.850262
RTLS_00240,Voedingspomp 4,equipment,2025-03-19 08:09:47.000000000,2025-03-19 08:09:53.000000000,UTIL_B,B2.75 Utility,2.75,6.0
RTLS_00040,EUREKA-VPL-004,nurse,2025-03-19 08:09:54.816405810,2025-03-19 08:10:12.574169627,STORE_B,B2.59 Berging,2.59,17.757763
RTLS_00028,EUREKA-VPL-003,nurse,2025-03-19 08:09:56.992169531,2025-03-19 08:10:13.854174960,KITCHEN,B2.77 Keuken,2.77,16.862005
RTLS_00118,Spuitaandrijver,equipment,2025-03-19 08:09:59.000000000,2025-03-19 08:10:20.000000000,UTIL_B,B2.75 Utility,2.75,21.0
RTLS_00056,EUREKA-VPL-001,nurse,2025-03-19 08:10:00.000000000,2025-03-19 08:13:00.000000000,ROOM_103,B2.78 1-bedskamer,2.78,180.0
